id,Rent,livingspace,NoOfRooms,lat,lon,distanceShop,dum_balcony,dum_builtinkitchen,dum_floorplan,dum_garden,dum_privateoffer
1000445,1398.77,94.129997,3,52.5522,13.4119,6.3307557,0,0,0,0,0
1000447,1364.48,106.25,3,52.509369,13.40437,3.5812197,1,1,1,0,0
1000448,1619.54,112.39,3,52.580292,13.42178,7.1829104,1,1,1,0,0
1000449,669,55,2,50.214489,8.6442804,5.7868772,1,0,0,0,0
1000450,1717.6,134.3,5,52.41523,10.81596,5.4993968,1,1,1,0,0
1000451,249,39.580002,1,51.297161,12.38852,1.9864277,1,0,1,0,0
1000452,410,64.830002,3,54.140381,12.04268,5.972683,0,0,1,0,0
1000453,351.47,59.860001,2,51.398849,6.70225,0.43298164,0,0,0,0,0
1000454,189,29,1,51.319778,7.3217201,3.1307964,1,1,0,0,0
1000457,640,69.809998,3,51.005192,13.76793,5.0908093,1,0,1,1,0
1000459,450,52.5,2,51.039059,13.80106,6.3470492,1,1,1,1,0
1000461,795,23,1,50.083611,8.6448498,2.669893,0,1,1,0,0
1000464,645,22,1,50.01461,8.4496899,5.1579766,0,1,0,0,0
1000466,1395,40,2,50.083611,8.6448498,1.5848265,0,1,1,0,0
1000467,1295,31,2,50.083611,8.6448498,2.2928469,0,1,1,0,0
1000468,1195,30,1,50.083611,8.6448498,4.611351,0,1,1,0,0
1000470,1050,30,1,50.083611,8.6448498,6.94807,0,1,1,0,0
1000471,653,123,5,50.838879,12.93847,0.85315329,1,0,1,1,0
1000472,395,74,3,50.864361,12.95311,4.3402343,0,1,1,1,0
1000474,435,87,3,50.836658,12.93923,2.9349906,1,0,0,1,0
1000476,416,75.599998,3,54.148289,12.07432,4.7934127,1,0,0,0,0
1000477,899,45.16,2,50.952869,6.9252801,1.3153398,0,1,1,0,0
1000480,1765.58,100.89,3,50.114689,8.6515102,2.8743124,0,0,1,0,0
1000483,800,96,4,51.330898,12.39965,1.7367799,1,0,1,0,0
1000484,299,50,2,51.372768,12.40753,3.3813884,0,0,1,0,0
1000485,410,68,2.5,51.656849,6.9735999,1.0174856,0,0,0,0,0
1000486,385,77.099998,3,51.18512,7.1757302,0.65004706,0,0,1,0,0
1000487,530,48,2,52.0047,8.5576897,7.3535061,1,0,1,0,0
1000488,374,55,2,53.051929,8.63097,5.101696,0,0,0,0,0
1000490,1229,81.940002,3,50.17498,8.6246099,5.4209418,1,1,1,0,0
1000492,402,61.799999,3.5,51.488811,6.5362201,4.9170723,1,0,1,0,0
1000494,432,75.629997,3.5,51.465141,7.0616398,2.785943,1,0,0,0,0
